Name,Codename,Cores,Clock,Socket,Process,L3_Cache,TDP,Release
Core i9-13900H,Raptor Lake-H,14.0,2.6,BGA 1744,10.0,24MB,45.0,2023-01-04
Core i9-13900HK,Raptor Lake-H,14.0,2.6,BGA 1744,10.0,24MB,45.0,2023-01-04
Core i9-7940X,Skylake-X,14.0,3.1,Socket 2066,14.0,19.25MB,165.0,
Core i9-9940X,Skylake-X,14.0,3.3,Socket 2066,14.0,19.25MB,165.0,2018-10-19
Core i9-9990XE,Skylake-X,14.0,4.0,Socket 2066,14.0,19.25MB,255.0,2018-10-19
Xeon E5-1691 V3,Haswell-EP,14.0,2.5,Socket 2011-3,22.0,35MB,135.0,2014-09-08
Xeon E5-2683 V3,Haswell-EP,14.0,2.0,Socket 2011-3,22.0,35MB,120.0,2014-09-08
Xeon E5-2695 V3,Haswell-EP,14.0,2.3,Socket 2011-3,22.0,35MB,120.0,2014-09-08
Xeon E5-2697 V3,Haswell-EP,14.0,2.6,Socket 2011-3,22.0,35MB,145.0,2014-09-08
Xeon E5-4660 V3,Haswell-EP,14.0,2.1,Socket 2011-3,22.0,35MB,120.0,
Xeon E7-4850 v3,Haswell-EX,14.0,2.2,Socket 2011-3,22.0,35MB,115.0,
Xeon W-2170B,Skylake-W,14.0,2.5,Socket 2066,14.0,19.25MB,140.0,
Xeon W-2175,Skylake-W,14.0,2.5,Socket 2066,14.0,19.25MB,140.0,2017-10-15
EPYC 7281,Naples,16.0,2.1,Socket SP3,14.0,32MB,170.0,2017-06-29
EPYC 7282,Rome,16.0,2.8,Socket SP3,7.0,64MB,120.0,2019-08-07
EPYC 7301,Naples,16.0,2.2,Socket SP3,14.0,64MB,170.0,2017-06-29
EPYC 7302,Rome,16.0,3.0,Socket SP3,7.0,128MB,155.0,2019-08-07
EPYC 7302P,Rome,16.0,3.0,Socket SP3,7.0,128MB,155.0,2019-08-07
EPYC 7313,Milan,16.0,3.0,Socket SP3,7.0,128MB,155.0,2021-03-15
EPYC 7313P,Milan,16.0,3.0,Socket SP3,7.0,128MB,155.0,2021-03-15
EPYC 7343,Milan,16.0,3.2,Socket SP3,7.0,128MB,190.0,2021-03-15
EPYC 7351,Naples,16.0,2.4,Socket SP3,14.0,64MB,170.0,2017-06-29
EPYC 7351P,Naples,16.0,2.4,Socket SP3,14.0,64MB,170.0,2017-06-29
EPYC 7371,Naples,16.0,3.1,Socket SP3,14.0,64MB,170.0,2018-11-16
EPYC 7373X,Milan-X,16.0,3.05,Socket SP3,7.0,768MB,240.0,
EPYC 73F3,Milan,16.0,3.5,Socket SP3,7.0,256MB,240.0,2021-03-15
EPYC 7F52,Rome,16.0,3.5,Socket SP3,7.0,256MB,155.0,2020-04-14
EPYC 9124,Genoa,16.0,3.0,Socket SP5,5.0,64MB,200.0,2022-11-10
EPYC 9174F,Genoa,16.0,4.1,Socket SP5,5.0,256MB,320.0,2022-11-10
Opteron 6262 HE,Interlagos,16.0,1.6,Socket G34,32.0,16MB,85.0,2011-11-14
Opteron 6272,Interlagos,16.0,2.1,Socket G34,32.0,16MB,115.0,2011-11-14
Opteron 6274,Interlagos,16.0,2.2,Socket G34,32.0,16MB,115.0,2011-11-14
Opteron 6276,Interlagos,16.0,2.3,Socket G34,32.0,8MB,115.0,2011-11-14
Opteron 6278,Interlagos,16.0,2.4,Socket G34,32.0,8MB,115.0,
Opteron 6282 SE,Interlagos,16.0,2.6,Socket G34,32.0,8MB,140.0,2011-11-14
Opteron 6284 SE,Interlagos,16.0,2.7,Socket G34,32.0,8MB,140.0,
Opteron 6366 HE,Abu Dhabi,16.0,1.8,Socket G34,32.0,8MB,85.0,2012-11-05
Opteron 6376,Abu Dhabi,16.0,2.3,Socket G34,32.0,8MB,115.0,2012-11-05
Opteron 6378,Abu Dhabi,16.0,2.4,Socket G34,32.0,8MB,115.0,2012-11-05
Opteron 6380,Abu Dhabi,16.0,2.5,Socket G34,32.0,8MB,115.0,2012-11-05
Opteron 6386 SE,Abu Dhabi,16.0,2.8,Socket G34,32.0,8MB,140.0,2012-11-05
Ryzen 9 3950X,Matisse,16.0,3.5,Socket AM4,7.0,64MB,105.0,2019-11-25
Ryzen 9 5950X,Vermeer,16.0,3.4,Socket AM4,7.0,64MB,105.0,2020-11-05
Ryzen 9 7945HX,Dragon Range,16.0,2.5,Socket FP8,5.0,64MB,55.0,2023-01-04
Ryzen 9 7950X,Raphael,16.0,4.5,Socket AM5,5.0,64MB,170.0,2022-09-27
Ryzen 9 7950X3D,Raphael,16.0,4.2,Socket AM5,5.0,128MB,120.0,2023-01-04
Ryzen Threadripper 1950,Zen,16.0,3.2,Socket SP3r2,14.0,32MB,180.0,
Ryzen Threadripper 1950X,Zen,16.0,3.4,Socket SP3r2,14.0,32MB,180.0,2017-08-10
Ryzen Threadripper 2950X,Colfax,16.0,3.5,Socket SP3r2,12.0,32MB,180.0,
